Timestamp,LaneC0,LaneC1,LaneC2,LaneC3,LateralAccel,RelAccX1,RelAccX10,RelAccX2,RelAccX3,RelAccX4,RelAccX5,RelAccX6,RelAccX7,RelAccX8,RelAccX9,RelPosX1,RelPosX10,RelPosX2,RelPosX3,RelPosX4,RelPosX5,RelPosX6,RelPosX7,RelPosX8,RelPosX9,RelPosY1,RelPosY10,RelPosY2,RelPosY3,RelPosY4,RelPosY5,RelPosY6,RelPosY7,RelPosY8,RelPosY9,RelVelX1,RelVelX10,RelVelX2,RelVelX3,RelVelX4,RelVelX5,RelVelX6,RelVelX7,RelVelX8,RelVelX9,SteeringAngle,VehicleSpeed
23:23:14.325,1.0,1.0,1.0,1.0,63.243,-1.8999999999999986,,6490.200000000001,6502.1,6489.700000000001,6499.900000000001,,,,,-814.2,,-991.9,-821.1,-124.59999999999991,5117.8,,,,,-777.0,,-202.5999999999999,-89.09999999999991,4885.1,5023.700000000001,,,,,-19.89999999999999,,-37.9,-65.3,-96.2,-33.8,,,,,-3484.0999999999995,232.01
23:23:14.326,,,,,,,6486.900000000001,,,,,6485.8,-7.5,-46.3,-14.5,,4587.1,,,,,-298.0,5490.200000000001,5191.0,5269.0,,-667.5,,,,,4753.700000000001,-413.19999999999993,5121.6,5452.400000000001,,6414.400000000001,,,,,-95.2,-36.8,-10.5,6438.700000000001,,
23:23:14.426,1.0,0.0,1.0,0.0,59.697,6461.400000000001,,-13.600000000000001,6471.1,6461.1,-40.4,-12.100000000000001,,,,-504.0,,-229.89999999999998,-177.5,-702.4,-1.3999999999999773,5406.5,,,,4585.6,,-21.299999999999955,5316.700000000001,-703.8,4913.5,-466.6,,,,-28.599999999999994,,-95.1,6400.5,-73.7,-49.099999999999994,6424.200000000001,,,,-1783.3999999999996,110.03
23:23:14.427,,,,,,,-20.7,,,,,,6502.5,6470.3,6469.0,,5352.700000000001,,,,,,-305.5999999999999,5099.900000000001,-191.0,,-87.19999999999993,,,,,,5168.700000000001,-711.4,-337.69999999999993,,-21.19999999999999,,,,,,6415.8,-45.599999999999994,-19.89999999999999,,
23:23:14.527,0.0,1.0,0.0,1.0,4.64,6468.700000000001,,6495.1,6485.400000000001,,,,,,,5392.0,,-593.4,5422.200000000001,,,,,,,-8.199999999999932,,4620.700000000001,-297.29999999999995,,,,,,,6425.5,,6386.1,6412.400000000001,,,,,,,-7775.0,128.55
23:23:14.528,,,,,,,,,,-13.399999999999999,6454.8,6501.5,6486.400000000001,-26.299999999999997,-32.9,,,,,5540.200000000001,-528.0999999999999,5496.5,4611.0,5257.700000000001,-188.39999999999998,,,,,5280.1,-814.2,-673.5999999999999,4595.900000000001,5250.900000000001,5048.5,,,,,6395.5,-67.8,-38.4,6365.5,-98.8,6430.1,,
23:23:14.529,,,,,,,-48.7,,,,,,,,,,4941.5,,,,,,,,,,4742.3,,,,,,,,,,6358.8,,,,,,,,,,
23:23:14.630,1.0,0.0,0.0,1.0,60.852000000000004,-10.099999999999994,,,,,,,,,,4867.700000000001,,,,,,,,,,5200.8,,,,,,,,,,-32.8,,,,,,,,,,-5465.799999999999,106.04
23:23:14.631,,,,,,,,-44.9,6486.200000000001,6495.6,6454.0,-30.299999999999997,,,,,,-582.0,4914.1,4851.1,-128.39999999999998,-523.5,,,,,,5526.8,-776.3,-207.0999999999999,-669.4,-778.2,,,,,,6434.3,6400.900000000001,-69.0,-97.3,-57.9,,,,,
23:23:14.632,,,,,,,-39.5,,,,,,-5.399999999999999,6460.400000000001,-1.8999999999999986,,5080.400000000001,,,,,,-284.9,5127.5,-299.5999999999999,,5300.400000000001,,,,,,-354.9,4891.0,5437.3,,6368.200000000001,,,,,,-86.6,6426.6,-96.3,,
