Timestamp/DeltaT,Message,Signal,Value
12:44:16.855,VehicleStatus,VehicleSpeed,186.73
12:44:16.855,VehicleStatus,SteeringAngle,-2343.8999999999996
12:44:16.856,VehicleAccel,LateralAccel,2.368
12:44:16.856,LaneInfo,LaneC0,0.0
12:44:16.856,LaneInfo,LaneC1,1.0
12:44:16.856,LaneInfo,LaneC2,1.0
12:44:16.856,LaneInfo,LaneC3,0.0
12:44:16.856,RadarObj1,RelPosX1,-718.5
12:44:16.856,RadarObj1,RelPosY1,-70.19999999999993
12:44:16.856,RadarObj1,RelVelX1,6422.200000000001
12:44:16.856,RadarObj1,RelAccX1,6468.0
12:44:16.856,RadarObj2,RelPosX2,4698.200000000001
12:44:16.856,RadarObj2,RelPosY2,4737.8
12:44:16.856,RadarObj2,RelVelX2,-97.2
12:44:16.856,RadarObj2,RelAccX2,6487.900000000001
12:44:16.857,RadarObj3,RelPosX3,-878.5
12:44:16.857,RadarObj3,RelPosY3,5533.1
12:44:16.857,RadarObj3,RelVelX3,-94.6
12:44:16.857,RadarObj3,RelAccX3,6479.1
12:44:16.857,RadarObj4,RelPosX4,5404.6
12:44:16.857,RadarObj4,RelPosY4,-106.89999999999998
12:44:16.857,RadarObj4,RelVelX4,6442.700000000001
12:44:16.857,RadarObj4,RelAccX4,-35.4
12:44:16.857,RadarObj5,RelPosX5,4841.900000000001
12:44:16.857,RadarObj5,RelPosY5,5232.5
12:44:16.857,RadarObj5,RelVelX5,6429.3
12:44:16.857,RadarObj5,RelAccX5,-3.799999999999997
12:44:16.857,RadarObj6,RelPosX6,5433.900000000001
12:44:16.857,RadarObj6,RelPosY6,5499.200000000001
12:44:16.857,RadarObj6,RelVelX6,6446.3
12:44:16.857,RadarObj6,RelAccX6,6475.5
12:44:16.857,RadarObj7,RelPosX7,4926.900000000001
12:44:16.857,RadarObj7,RelPosY7,4611.8
12:44:16.857,RadarObj7,RelVelX7,6435.1
12:44:16.857,RadarObj7,RelAccX7,6459.1
12:44:16.857,RadarObj8,RelPosX8,5402.900000000001
12:44:16.857,RadarObj8,RelPosY8,5427.400000000001
12:44:16.857,RadarObj8,RelVelX8,-93.9
12:44:16.857,RadarObj8,RelAccX8,6469.3
12:44:16.857,RadarObj9,RelPosX9,-905.4
12:44:16.857,RadarObj9,RelPosY9,-382.4
12:44:16.857,RadarObj9,RelVelX9,6433.400000000001
12:44:16.857,RadarObj9,RelAccX9,6467.700000000001
12:44:16.857,RadarObj10,RelPosX10,4653.0
12:44:16.857,RadarObj10,RelPosY10,5156.700000000001
12:44:16.857,RadarObj10,RelVelX10,-66.8
12:44:16.857,RadarObj10,RelAccX10,6486.5
12:44:16.957,VehicleStatus,VehicleSpeed,21.41
12:44:16.957,VehicleStatus,SteeringAngle,-4523.2
12:44:16.958,VehicleAccel,LateralAccel,64.042
12:44:16.958,LaneInfo,LaneC0,1.0
12:44:16.958,LaneInfo,LaneC1,1.0
12:44:16.958,LaneInfo,LaneC2,1.0
12:44:16.958,LaneInfo,LaneC3,1.0
12:44:16.958,RadarObj1,RelPosX1,5082.6
12:44:16.958,RadarObj1,RelPosY1,5452.900000000001
12:44:16.958,RadarObj1,RelVelX1,-97.3
12:44:16.958,RadarObj1,RelAccX1,6497.8
12:44:16.958,RadarObj2,RelPosX2,4868.6
12:44:16.958,RadarObj2,RelPosY2,4638.700000000001
12:44:16.958,RadarObj2,RelVelX2,-84.9
12:44:16.958,RadarObj2,RelAccX2,-3.1999999999999957
12:44:16.958,RadarObj3,RelPosX3,4697.8
12:44:16.958,RadarObj3,RelPosY3,5483.200000000001
12:44:16.958,RadarObj3,RelVelX3,-72.2
12:44:16.958,RadarObj3,RelAccX3,-19.799999999999997
12:44:16.958,RadarObj4,RelPosX4,4929.900000000001
12:44:16.958,RadarObj4,RelPosY4,5086.8
12:44:16.958,RadarObj4,RelVelX4,6414.900000000001
12:44:16.958,RadarObj4,RelAccX4,6481.0
12:44:16.958,RadarObj5,RelPosX5,5537.3
12:44:16.958,RadarObj5,RelPosY5,-162.19999999999993
12:44:16.958,RadarObj5,RelVelX5,6367.6
12:44:16.958,RadarObj5,RelAccX5,-37.2
12:44:16.958,RadarObj6,RelPosX6,-29.399999999999977
12:44:16.958,RadarObj6,RelPosY6,5103.400000000001
12:44:16.958,RadarObj6,RelVelX6,-69.0
12:44:16.958,RadarObj6,RelAccX6,-2.5999999999999943
12:44:16.958,RadarObj7,RelPosX7,5246.700000000001
12:44:16.958,RadarObj7,RelPosY7,-368.19999999999993
12:44:16.958,RadarObj7,RelVelX7,6413.1
12:44:16.958,RadarObj7,RelAccX7,6483.700000000001
12:44:16.958,RadarObj8,RelPosX8,-241.69999999999993
12:44:16.958,RadarObj8,RelPosY8,-310.79999999999995
12:44:16.958,RadarObj8,RelVelX8,-71.5
12:44:16.958,RadarObj8,RelAccX8,6481.8
12:44:16.958,RadarObj9,RelPosX9,4596.900000000001
12:44:16.958,RadarObj9,RelPosY9,4891.0
12:44:16.958,RadarObj9,RelVelX9,-24.89999999999999
12:44:16.958,RadarObj9,RelAccX9,6479.200000000001
12:44:16.958,RadarObj10,RelPosX10,5409.6
12:44:16.958,RadarObj10,RelPosY10,4985.5
12:44:16.958,RadarObj10,RelVelX10,6417.200000000001
12:44:16.958,RadarObj10,RelAccX10,6480.6
12:44:17.059,VehicleStatus,VehicleSpeed,186.53
12:44:17.059,VehicleStatus,SteeringAngle,-4523.299999999999
12:44:17.059,VehicleAccel,LateralAccel,8.715
12:44:17.059,LaneInfo,LaneC0,0.0
12:44:17.059,LaneInfo,LaneC1,0.0
12:44:17.059,LaneInfo,LaneC2,1.0
12:44:17.059,LaneInfo,LaneC3,1.0
12:44:17.059,RadarObj1,RelPosX1,-135.89999999999998
12:44:17.059,RadarObj1,RelPosY1,5244.6
12:44:17.059,RadarObj1,RelVelX1,6385.3
12:44:17.059,RadarObj1,RelAccX1,-29.599999999999998
12:44:17.059,RadarObj2,RelPosX2,-597.7
12:44:17.059,RadarObj2,RelPosY2,5158.200000000001
12:44:17.059,RadarObj2,RelVelX2,6394.400000000001
12:44:17.059,RadarObj2,RelAccX2,-45.3
12:44:17.059,RadarObj3,RelPosX3,5500.900000000001
12:44:17.059,RadarObj3,RelPosY3,-67.39999999999998
12:44:17.059,RadarObj3,RelVelX3,6443.700000000001
12:44:17.059,RadarObj3,RelAccX3,6456.3
12:44:17.059,RadarObj4,RelPosX4,5043.200000000001
12:44:17.059,RadarObj4,RelPosY4,5026.0
12:44:17.059,RadarObj4,RelVelX4,-41.4
12:44:17.059,RadarObj4,RelAccX4,-22.799999999999997
12:44:17.059,RadarObj5,RelPosX5,-272.69999999999993
12:44:17.059,RadarObj5,RelPosY5,5086.1
12:44:17.059,RadarObj5,RelVelX5,6430.8
12:44:17.059,RadarObj5,RelAccX5,-6.299999999999997
12:44:17.059,RadarObj6,RelPosX6,5063.900000000001
12:44:17.059,RadarObj6,RelPosY6,-253.0
12:44:17.059,RadarObj6,RelVelX6,-8.299999999999997
12:44:17.059,RadarObj6,RelAccX6,-43.7
12:44:17.059,RadarObj7,RelPosX7,5374.1
12:44:17.059,RadarObj7,RelPosY7,4585.700000000001
12:44:17.059,RadarObj7,RelVelX7,-12.699999999999989
12:44:17.059,RadarObj7,RelAccX7,6470.200000000001
12:44:17.060,RadarObj8,RelPosX8,-64.09999999999991
12:44:17.060,RadarObj8,RelPosY8,5279.8
12:44:17.060,RadarObj8,RelVelX8,6435.400000000001
12:44:17.060,RadarObj8,RelAccX8,6458.400000000001
12:44:17.060,RadarObj9,RelPosX9,-128.39999999999998
12:44:17.060,RadarObj9,RelPosY9,5530.400000000001
12:44:17.060,RadarObj9,RelVelX9,6379.700000000001
12:44:17.060,RadarObj9,RelAccX9,-37.0
12:44:17.060,RadarObj10,RelPosX10,-520.3
12:44:17.060,RadarObj10,RelPosY10,-958.2
12:44:17.060,RadarObj10,RelVelX10,6396.3
12:44:17.060,RadarObj10,RelAccX10,6463.5
12:44:17.160,VehicleStatus,VehicleSpeed,115.07000000000001
12:44:17.160,VehicleStatus,SteeringAngle,-4798.0
12:44:17.160,VehicleAccel,LateralAccel,6.901
12:44:17.160,LaneInfo,LaneC0,0.0
12:44:17.160,LaneInfo,LaneC1,1.0
12:44:17.160,LaneInfo,LaneC2,0.0
12:44:17.160,LaneInfo,LaneC3,0.0
12:44:17.160,RadarObj1,RelPosX1,-728.5
12:44:17.160,RadarObj1,RelPosY1,5038.3
12:44:17.160,RadarObj1,RelVelX1,-25.200000000000003
12:44:17.160,RadarObj1,RelAccX1,6476.700000000001
12:44:17.160,RadarObj2,RelPosX2,4696.3
12:44:17.160,RadarObj2,RelPosY2,4786.400000000001
12:44:17.160,RadarObj2,RelVelX2,-87.0
12:44:17.160,RadarObj2,RelAccX2,6484.5
12:44:17.160,RadarObj3,RelPosX3,5492.1
12:44:17.160,RadarObj3,RelPosY3,4960.5
12:44:17.160,RadarObj3,RelVelX3,-73.4
12:44:17.160,RadarObj3,RelAccX3,6456.400000000001
12:44:17.161,RadarObj4,RelPosX4,-765.7
12:44:17.161,RadarObj4,RelPosY4,5040.6
12:44:17.161,RadarObj4,RelVelX4,6376.1
12:44:17.161,RadarObj4,RelAccX4,-22.5
12:44:17.161,RadarObj5,RelPosX5,-79.09999999999991
12:44:17.161,RadarObj5,RelPosY5,-156.39999999999998
12:44:17.161,RadarObj5,RelVelX5,6435.8
12:44:17.161,RadarObj5,RelAccX5,-7.399999999999999
12:44:17.161,RadarObj6,RelPosX6,4656.3
12:44:17.161,RadarObj6,RelPosY6,-792.5
12:44:17.161,RadarObj6,RelVelX6,6368.200000000001
12:44:17.161,RadarObj6,RelAccX6,6477.5
12:44:17.161,RadarObj7,RelPosX7,5260.6
12:44:17.161,RadarObj7,RelPosY7,5350.900000000001
12:44:17.161,RadarObj7,RelVelX7,-72.3
12:44:17.161,RadarObj7,RelAccX7,6498.0
12:44:17.161,RadarObj8,RelPosX8,5132.3
12:44:17.161,RadarObj8,RelPosY8,5234.900000000001
12:44:17.161,RadarObj8,RelVelX8,6355.700000000001
12:44:17.161,RadarObj8,RelAccX8,6461.1
12:44:17.161,RadarObj9,RelPosX9,-941.3
12:44:17.161,RadarObj9,RelPosY9,4642.700000000001
12:44:17.161,RadarObj9,RelVelX9,-63.199999999999996
12:44:17.161,RadarObj9,RelAccX9,-47.6
12:44:17.161,RadarObj10,RelPosX10,5257.6
12:44:17.161,RadarObj10,RelPosY10,-630.0999999999999
12:44:17.161,RadarObj10,RelVelX10,6357.5
12:44:17.161,RadarObj10,RelAccX10,-2.0
12:44:17.261,VehicleStatus,VehicleSpeed,202.93
12:44:17.261,VehicleStatus,SteeringAngle,-4554.299999999999
12:44:17.262,VehicleAccel,LateralAccel,55.620000000000005
12:44:17.262,LaneInfo,LaneC0,0.0
12:44:17.262,LaneInfo,LaneC1,0.0
12:44:17.262,LaneInfo,LaneC2,1.0
12:44:17.262,LaneInfo,LaneC3,1.0
12:44:17.262,RadarObj1,RelPosX1,4865.900000000001
12:44:17.262,RadarObj1,RelPosY1,4554.5
12:44:17.262,RadarObj1,RelVelX1,-70.9
12:44:17.262,RadarObj1,RelAccX1,-5.0
12:44:17.262,RadarObj2,RelPosX2,-2.199999999999932
12:44:17.262,RadarObj2,RelPosY2,5201.700000000001
12:44:17.262,RadarObj2,RelVelX2,6383.900000000001
12:44:17.262,RadarObj2,RelAccX2,6502.1
12:44:17.262,RadarObj3,RelPosX3,5120.5
12:44:17.262,RadarObj3,RelPosY3,-553.9
12:44:17.262,RadarObj3,RelVelX3,6406.0
12:44:17.262,RadarObj3,RelAccX3,-11.399999999999999
12:44:17.262,RadarObj4,RelPosX4,5200.1
12:44:17.262,RadarObj4,RelPosY4,5051.8
12:44:17.262,RadarObj4,RelVelX4,-91.7
12:44:17.262,RadarObj4,RelAccX4,6454.200000000001
12:44:17.262,RadarObj5,RelPosX5,-113.19999999999993
12:44:17.262,RadarObj5,RelPosY5,4886.0
12:44:17.262,RadarObj5,RelVelX5,-57.099999999999994
12:44:17.262,RadarObj5,RelAccX5,6465.900000000001
12:44:17.262,RadarObj6,RelPosX6,5461.8
12:44:17.262,RadarObj6,RelPosY6,-689.9
12:44:17.262,RadarObj6,RelVelX6,-10.299999999999997
12:44:17.262,RadarObj6,RelAccX6,-28.4
12:44:17.262,RadarObj7,RelPosX7,-869.2
12:44:17.262,RadarObj7,RelPosY7,-747.7
12:44:17.262,RadarObj7,RelVelX7,6431.5
12:44:17.262,RadarObj7,RelAccX7,-40.9
12:44:17.262,RadarObj8,RelPosX8,5474.0
12:44:17.262,RadarObj8,RelPosY8,5386.6
12:44:17.262,RadarObj8,RelVelX8,6373.1
12:44:17.262,RadarObj8,RelAccX8,6479.8
12:44:17.262,RadarObj9,RelPosX9,4781.0
12:44:17.262,RadarObj9,RelPosY9,-134.19999999999993
12:44:17.262,RadarObj9,RelVelX9,6414.3
12:44:17.262,RadarObj9,RelAccX9,-21.4
12:44:17.262,RadarObj10,RelPosX10,-321.5999999999999
12:44:17.262,RadarObj10,RelPosY10,5048.900000000001
12:44:17.262,RadarObj10,RelVelX10,-21.799999999999997
12:44:17.262,RadarObj10,RelAccX10,6497.5
12:44:17.362,VehicleStatus,VehicleSpeed,162.59
12:44:17.362,VehicleStatus,SteeringAngle,-4523.2
12:44:17.363,VehicleAccel,LateralAccel,60.329
12:44:17.363,LaneInfo,LaneC0,1.0
12:44:17.363,LaneInfo,LaneC1,1.0
12:44:17.363,LaneInfo,LaneC2,0.0
12:44:17.363,LaneInfo,LaneC3,0.0
12:44:17.363,RadarObj1,RelPosX1,-978.6
12:44:17.363,RadarObj1,RelPosY1,4857.700000000001
12:44:17.363,RadarObj1,RelVelX1,-3.6999999999999886
12:44:17.363,RadarObj1,RelAccX1,-50.0
12:44:17.363,RadarObj2,RelPosX2,4907.8
12:44:17.363,RadarObj2,RelPosY2,-671.0
12:44:17.363,RadarObj2,RelVelX2,-55.8
12:44:17.363,RadarObj2,RelAccX2,6494.400000000001
12:44:17.363,RadarObj3,RelPosX3,5366.3
12:44:17.363,RadarObj3,RelPosY3,-478.0
12:44:17.363,RadarObj3,RelVelX3,-36.699999999999996
12:44:17.363,RadarObj3,RelAccX3,-41.0
12:44:17.363,RadarObj4,RelPosX4,5087.8
12:44:17.363,RadarObj4,RelPosY4,4973.1
12:44:17.363,RadarObj4,RelVelX4,6367.900000000001
12:44:17.363,RadarObj4,RelAccX4,-25.7
12:44:17.363,RadarObj5,RelPosX5,4736.1
12:44:17.363,RadarObj5,RelPosY5,4851.900000000001
12:44:17.363,RadarObj5,RelVelX5,6412.0
12:44:17.363,RadarObj5,RelAccX5,-26.799999999999997
12:44:17.363,RadarObj6,RelPosX6,4623.200000000001
12:44:17.363,RadarObj6,RelPosY6,4632.900000000001
12:44:17.363,RadarObj6,RelVelX6,-54.4
12:44:17.363,RadarObj6,RelAccX6,6492.5
12:44:17.363,RadarObj7,RelPosX7,-964.8
12:44:17.363,RadarObj7,RelPosY7,-473.29999999999995
12:44:17.363,RadarObj7,RelVelX7,6421.400000000001
12:44:17.363,RadarObj7,RelAccX7,-1.3999999999999986
12:44:17.363,RadarObj8,RelPosX8,5032.200000000001
12:44:17.363,RadarObj8,RelPosY8,-652.5999999999999
12:44:17.363,RadarObj8,RelVelX8,6429.3
12:44:17.363,RadarObj8,RelAccX8,6460.3
12:44:17.363,RadarObj9,RelPosX9,4658.900000000001
12:44:17.363,RadarObj9,RelPosY9,4706.0
12:44:17.363,RadarObj9,RelVelX9,-73.8
12:44:17.363,RadarObj9,RelAccX9,-16.799999999999997
12:44:17.363,RadarObj10,RelPosX10,-390.79999999999995
12:44:17.363,RadarObj10,RelPosY10,-682.9
12:44:17.363,RadarObj10,RelVelX10,-92.7
12:44:17.363,RadarObj10,RelAccX10,6479.900000000001
12:44:17.465,VehicleStatus,VehicleSpeed,248.79
12:44:17.465,VehicleStatus,SteeringAngle,-4523.2
