Timestamp/DeltaT,Message,Signal,Value
100 ms,VehicleStatus,VehicleSpeed,37.18
100 ms,VehicleStatus,SteeringAngle,-4523.2
0 ms,VehicleAccel,LateralAccel,7.99
0 ms,LaneInfo,LaneC0,1
0 ms,LaneInfo,LaneC1,1
0 ms,LaneInfo,LaneC2,1
0 ms,LaneInfo,LaneC3,0
0 ms,RadarObj1,RelPosX1,5205.700000000001
0 ms,RadarObj1,RelPosY1,-577.0999999999999
0 ms,RadarObj1,RelVelX1,6439.6
0 ms,RadarObj1,RelAccX1,6490.6
0 ms,RadarObj2,RelPosX2,-823.8
0 ms,RadarObj2,RelPosY2,5439.5
0 ms,RadarObj2,RelVelX2,6361.1
0 ms,RadarObj2,RelAccX2,-46.9
0 ms,RadarObj3,RelPosX3,4936.5
0 ms,RadarObj3,RelPosY3,-592.9
0 ms,RadarObj3,RelVelX3,-96.7
0 ms,RadarObj3,RelAccX3,-42.6
0 ms,RadarObj4,RelPosX4,-583.0
0 ms,RadarObj4,RelPosY4,5240.6
0 ms,RadarObj4,RelVelX4,-26.799999999999997
0 ms,RadarObj4,RelAccX4,6501.400000000001
0 ms,RadarObj5,RelPosX5,-715.8
0 ms,RadarObj5,RelPosY5,4979.6
0 ms,RadarObj5,RelVelX5,6427.1
0 ms,RadarObj5,RelAccX5,6497.1
0 ms,RadarObj6,RelPosX6,4761.400000000001
0 ms,RadarObj6,RelPosY6,-202.29999999999995
0 ms,RadarObj6,RelVelX6,6414.1
0 ms,RadarObj6,RelAccX6,6475.0
0 ms,RadarObj7,RelPosX7,-361.19999999999993
0 ms,RadarObj7,RelPosY7,4873.0
0 ms,RadarObj7,RelVelX7,-56.8
0 ms,RadarObj7,RelAccX7,-21.2
0 ms,RadarObj8,RelPosX8,-286.0999999999999
0 ms,RadarObj8,RelPosY8,4784.1
0 ms,RadarObj8,RelVelX8,6367.1
0 ms,RadarObj8,RelAccX8,6495.700000000001
0 ms,RadarObj9,RelPosX9,5048.1
0 ms,RadarObj9,RelPosY9,5207.1
0 ms,RadarObj9,RelVelX9,-21.69999999999999
0 ms,RadarObj9,RelAccX9,-13.799999999999997
0 ms,RadarObj10,RelPosX10,5370.3
0 ms,RadarObj10,RelPosY10,5191.6
0 ms,RadarObj10,RelVelX10,-0.7999999999999972
0 ms,RadarObj10,RelAccX10,6465.8
100 ms,VehicleStatus,VehicleSpeed,184.87
100 ms,VehicleStatus,SteeringAngle,-3719.5
1 ms,VehicleAccel,LateralAccel,6.546
0 ms,LaneInfo,LaneC0,1
0 ms,LaneInfo,LaneC1,0
0 ms,LaneInfo,LaneC2,0
0 ms,LaneInfo,LaneC3,1
0 ms,RadarObj1,RelPosX1,-192.5
0 ms,RadarObj1,RelPosY1,-232.0
0 ms,RadarObj1,RelVelX1,-19.5
0 ms,RadarObj1,RelAccX1,6496.8
0 ms,RadarObj2,RelPosX2,4736.1
0 ms,RadarObj2,RelPosY2,-518.8
0 ms,RadarObj2,RelVelX2,6421.8
0 ms,RadarObj2,RelAccX2,-11.799999999999997
0 ms,RadarObj3,RelPosX3,5292.6
0 ms,RadarObj3,RelPosY3,-799.5
0 ms,RadarObj3,RelVelX3,-89.0
0 ms,RadarObj3,RelAccX3,-40.9
0 ms,RadarObj4,RelPosX4,-300.0999999999999
0 ms,RadarObj4,RelPosY4,5143.3
0 ms,RadarObj4,RelVelX4,6390.400000000001
0 ms,RadarObj4,RelAccX4,6497.900000000001
0 ms,RadarObj5,RelPosX5,5150.0
0 ms,RadarObj5,RelPosY5,4931.700000000001
0 ms,RadarObj5,RelVelX5,-52.599999999999994
0 ms,RadarObj5,RelAccX5,6474.3
0 ms,RadarObj6,RelPosX6,-779.5
0 ms,RadarObj6,RelPosY6,-921.2
0 ms,RadarObj6,RelVelX6,6358.200000000001
0 ms,RadarObj6,RelAccX6,6467.900000000001
0 ms,RadarObj7,RelPosX7,-111.39999999999998
0 ms,RadarObj7,RelPosY7,-532.5
0 ms,RadarObj7,RelVelX7,-59.699999999999996
