Timestamp,VehicleSpeed,SteeringAngle,LateralAccel,LaneC0,LaneC1,LaneC2,LaneC3,RelPosX1,RelPosY1,RelVelX1,RelAccX1,RelPosX2,RelPosY2,RelVelX2,RelAccX2,RelPosX3,RelPosY3,RelVelX3,RelAccX3,RelPosX4,RelPosY4,RelVelX4,RelAccX4,RelPosX5,RelPosY5,RelVelX5,RelAccX5,RelPosX6,RelPosY6,RelVelX6,RelAccX6,RelPosX7,RelPosY7,RelVelX7,RelAccX7,RelPosX8,RelPosY8,RelVelX8,RelAccX8,RelPosX9,RelPosY9,RelVelX9,RelAccX9,RelPosX10,RelPosY10,RelVelX10,RelAccX10
3.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.927,145.56,-1459.2999999999993,60.108000000000004,1.0,0.0,0.0,1.0,-116.5,-286.69999999999993,6386.1,-13.199999999999996,5198.5,5047.400000000001,6391.3,6495.1,-635.8,-313.79999999999995,-73.3,-6.799999999999997,4827.400000000001,4637.400000000001,-1.5,6501.1,4811.0,-167.0999999999999,6404.0,-41.4,-490.79999999999995,-716.3,-35.39999999999999,6485.8,4935.200000000001,5381.200000000001,-18.69999999999999,-30.5,-954.6,-900.6,-97.8,6468.200000000001,,,,,,,,
4.028,145.56,-1459.2999999999993,60.108000000000004,1.0,0.0,0.0,1.0,-116.5,-286.69999999999993,6386.1,-13.199999999999996,5198.5,5047.400000000001,6391.3,6495.1,-635.8,-313.79999999999995,-73.3,-6.799999999999997,4827.400000000001,4637.400000000001,-1.5,6501.1,4811.0,-167.0999999999999,6404.0,-41.4,-490.79999999999995,-716.3,-35.39999999999999,6485.8,4935.200000000001,5381.200000000001,-18.69999999999999,-30.5,-954.6,-900.6,-97.8,6468.200000000001,4781.200000000001,-747.1,6429.0,6473.200000000001,4710.400000000001,5121.700000000001,-33.89999999999999,6502.6
4.029,177.72,-4523.2,3.056,0.0,1.0,0.0,1.0,4955.8,5481.8,-21.299999999999997,-32.099999999999994,-163.5,-497.09999999999997,-6.8999999999999915,6475.400000000001,-907.2,4845.400000000001,-92.0,-43.5,5304.0,4561.6,6447.5,6464.200000000001,4811.0,-167.0999999999999,6404.0,-41.4,-490.79999999999995,-716.3,-35.39999999999999,6485.8,4935.200000000001,5381.200000000001,-18.69999999999999,-30.5,-954.6,-900.6,-97.8,6468.200000000001,4781.200000000001,-747.1,6429.0,6473.200000000001,4710.400000000001,5121.700000000001,-33.89999999999999,6502.6
4.127,177.72,-4523.2,3.056,0.0,1.0,0.0,1.0,4955.8,5481.8,-21.299999999999997,-32.099999999999994,-163.5,-497.09999999999997,-6.8999999999999915,6475.400000000001,-907.2,4845.400000000001,-92.0,-43.5,5304.0,4561.6,6447.5,6464.200000000001,-609.3,5477.5,6412.900000000001,-39.1,-820.5,-722.4,-59.9,-39.5,4618.200000000001,4917.0,-99.1,6501.700000000001,5035.900000000001,-741.5,-85.3,6462.8,5208.0,4650.8,-71.0,6490.0,-831.1,4785.1,-92.9,-25.7
4.128,187.3,-3137.5999999999995,3.056,0.0,1.0,0.0,1.0,4955.8,5481.8,-21.299999999999997,-32.099999999999994,-163.5,-497.09999999999997,-6.8999999999999915,6475.400000000001,-907.2,4845.400000000001,-92.0,-43.5,5304.0,4561.6,6447.5,6464.200000000001,-609.3,5477.5,6412.900000000001,-39.1,-820.5,-722.4,-59.9,-39.5,4618.200000000001,4917.0,-99.1,6501.700000000001,5035.900000000001,-741.5,-85.3,6462.8,5208.0,4650.8,-71.0,6490.0,-831.1,4785.1,-92.9,-25.7
4.230,187.3,-3137.5999999999995,5.7540000000000004,0.0,0.0,1.0,0.0,-148.79999999999995,4792.1,6402.700000000001,-31.4,-226.39999999999998,-249.5999999999999,-68.9,6474.400000000001,5320.700000000001,-189.0,6398.5,6460.6,5004.1,4606.0,6427.400000000001,-23.299999999999997,-615.7,-770.8,6412.3,-22.9,-902.8,-452.4,6389.700000000001,6466.3,-334.0,-9.5,-5.199999999999989,-47.4,5469.400000000001,-832.7,-1.5999999999999943,6476.0,4646.6,4756.1,-0.8999999999999915,6488.8,5351.8,-784.8,-69.5,6497.200000000001
4.231,117.88,-3342.2,8.57,0.0,1.0,0.0,0.0,4854.900000000001,-594.5,-83.0,-10.799999999999997,-357.5999999999999,-938.8,6431.700000000001,6463.5,-400.19999999999993,4646.900000000001,6425.6,6498.8,4837.6,5442.200000000001,-34.099999999999994,-46.8,4599.3,5364.700000000001,6426.1,-25.7,-871.9,5440.5,-82.8,-16.799999999999997,-334.0,-9.5,-5.199999999999989,-47.4,5469.400000000001,-832.7,-1.5999999999999943,6476.0,4646.6,4756.1,-0.8999999999999915,6488.8,5351.8,-784.8,-69.5,6497.200000000001
4.330,117.88,-3342.2,8.57,0.0,1.0,0.0,0.0,4854.900000000001,-594.5,-83.0,-10.799999999999997,-357.5999999999999,-938.8,6431.700000000001,6463.5,-400.19999999999993,4646.900000000001,6425.6,6498.8,4837.6,5442.200000000001,-34.099999999999994,-46.8,4599.3,5364.700000000001,6426.1,-25.7,-871.9,5440.5,-82.8,-16.799999999999997,5423.700000000001,-476.9,-32.3,6461.400000000001,-60.59999999999991,-143.19999999999993,-80.7,6484.6,-542.9,4762.3,6375.5,6496.200000000001,-565.7,5411.0,6431.8,6503.400000000001
4.331,170.06,-4523.299999999999,8.57,0.0,1.0,0.0,0.0,4854.900000000001,-594.5,-83.0,-10.799999999999997,-357.5999999999999,-938.8,6431.700000000001,6463.5,-400.19999999999993,4646.900000000001,6425.6,6498.8,4837.6,5442.200000000001,-34.099999999999994,-46.8,4599.3,5364.700000000001,6426.1,-25.7,-871.9,5440.5,-82.8,-16.799999999999997,5423.700000000001,-476.9,-32.3,6461.400000000001,-60.59999999999991,-143.19999999999993,-80.7,6484.6,-542.9,4762.3,6375.5,6496.200000000001,-565.7,5411.0,6431.8,6503.400000000001
